#TSV
#============Begin of sheet============
@Sheet=History
生态ID	生态说明
29	"<b>分类</b>\n甲壳种。\n\n<b>生境范围</b>\n盾蟹是一种在水源地周围非常常见的甲壳种怪物，而其中经过数十次的褪壳成长，特别巨大的个体被称呼为“大名盾蟹”。\n\n<b>生态位</b>\n杂食性怪物。水边的苔藓、鱼的尸体、沙中的虫子，盾蟹只要触及到看上去能吃的东西，就会将其送入口中。\n\n<b>适应性</b>\n不论体型，所有盾蟹都具有威风凛凛的外观和巨大蟹钳，并且会使用坚硬的物体作为甲壳来保护脆弱的背部。而大名盾蟹似乎非常倾向于使用一角龙的头骨来作为这层甲壳。在一角龙生息的沙漠地区这不难做到，但是居住在昆贝尔湿地的大名盾蟹，究竟是如何取得一角龙的头骨？迄今还是一个谜，王立学士们认为这很可能和昆贝尔地区的复杂起源有关。\n\n<b>行为</b>\n大名盾蟹的攻击并不仅仅依赖他巨大的蟹钳来进行，他喷吐的剧毒泡泡会让猎人防不胜防，而当猎人在其身后时，也很容易被他的倒车猛进撞到。"
30	"<b>分类</b>\n甲壳种，大名盾蟹独行种。\n\n<b>生境范围</b>\n仅在艾丝特湖地洞穴存有目击记录。\n\n<b>生态位</b>\n与原种不同的是，葵盾蟹对自己食谱颇为挑剔。除非食物极端缺乏，他们很少选择食腐。善于隐蔽的葵盾蟹，对待捕猎极有耐心，活跃在洞穴内的草食种和鸟龙种通常是他的捕食对象。\n\n<b>适应性</b>\n葵盾蟹被认为是大名盾蟹的一种。其个性极为谨慎，当感到威胁时，通常选择隐蔽或是绝对防御的策略。这使得人们难以发现踪迹，许多书面记录无法得到佐证，一段时间内的目击数量甚至少于某些特异个体，直到最近才被列入新种属可能。\n通过对葵盾蟹的甲壳样本进行年代分析，有研究人员认为他的寿命可能非常长久，远远超过一般盾蟹类的甲壳种。在他们漫长的生长过程中大概经历过无数次换壳，直到选中稀有的白一角龙头壳为止。\n\n<b>行为</b>\n盛产某种硬质晶体的洞穴是葵盾蟹主要的活动范围。与大名盾蟹坚厚的蟹钳不同，葵盾蟹钳部非常脆弱。为了进行有效的防御，葵盾蟹会攀住洞穴内的特产晶石，用其装饰双钳，以弥补自己最大的弱点。一只成年葵盾蟹经过长久的岁月，双钳与晶体已经完全密合，一旦葵盾蟹发怒，晶石即呈现为金色。当然，石头本身不会变色，但由于其优秀的折光率，猎人们甚至能透过晶体观察到钳部剧烈的血液流动。处于这一状态下的晶石性状变得不太稳定，受到冲撞很容易迸裂，从而引发爆炸。"
31	"<b>分类</b>\n甲壳种。\n\n<b>生境范围</b>\n镰蟹作为甲壳种，比盾蟹更专注于对环境的适应力以及确保自身安全的本性。他们能够在各种地方安家落户，不过通常会选择阴暗潮湿的场所。\n\n<b>生态位</b>\n和盾蟹不同，镰蟹并没有对背壳特别的依存性，失去背甲的镰蟹变得十分脆弱，即使是掠食性鸟龙种也能轻易将其捕获。因此他们会自发更换背甲，甚至根据战况选择对当前防御较为有利的甲壳。\n\n<b>适应性</b>\n相对于盾蟹中的巨大个体“大名盾蟹”，年龄增长到一定程度的镰蟹被称呼为“将军镰蟹”，这种称呼源自西奇国，据说是因为镰蟹那威风凛凛的外观。但实际上，镰蟹是一种非常狡诈的怪物，他们经常依靠利爪攀附在洞穴的天花板上来袭击猎物，或者利用高低差喷射水柱来使得对手无法近身。特别值得注意的是镰蟹那极其锐利的镰状双螯，没有强固的防具护身者经常会败在其一闪之下。\n\n<b>行为</b>\n将军镰蟹的双鳌极其锐利，能够轻易切开坚硬的岩石，近战时还请千万小心。而在远处时，将军镰蟹则会选择喷射水柱，极大的攻击范围让人无法防范。"
32	"<b>分类</b>\n甲壳种，将军镰蟹特异个体。\n\n<b>生境范围</b>\n仅在暗幕之森有发现记录，适应性与具体行为仍未探明。"
33	"<b>分类</b>\n目前已知体型最大的甲壳种。\n\n<b>生境范围</b>\n有传闻称类似“砦蟹”的巨大甲壳种在海边出没，在陆地上徘徊一段时间后又回到海中。\n\n<b>生态位</b>\n根据一些古老文献记载，砦蟹的群族拥有悠久的迁徙传统。即使体长远远超过一般甲壳种，一只砦蟹从深海登陆滩涂，也需要仰仗同类的身体，才能勉力攀爬至陆地。砦蟹间会产生激烈的争斗，获胜的一方必须压倒同类登顶，这一过程相当惨烈。关于迁徙行为的溯源，有古生物学家推测，降生于海中的砦蟹，经陆地迁徙将最终抵达某一处亡者圣地，这一过程存在某种仪式般的意义。\n\n<b>适应性</b>\n除去紧急事态，基本没有目击情报，因此可供进一步研究的资料很少。由于背上背负着老山龙上的头骨，加上超长的寿命，其存在的生态至今仍然是谜。\n唯一可以明确的是，砦蟹的迁徙遵循着潮汐的规律，行进时会优先拔除人类城寨。经历了长久的岁月，砦蟹高压酸液和极硬的坚壳，都会给防御工事带来不小的麻烦。经历过多次重建的港口城市梅杰波尔坦，曾经不止一次的遭受过这一甲壳种群的冲击。\n\n<b>行为</b>\n庞大的体型是砦蟹最好的武器，在陆地的行进，通常能产生地动山摇的效果。一个普通的挥爪，由这只庞然大物做出来则会产生毁灭性的结果。一旦砦蟹来袭，猎人公会都会召集经验最丰富的猎人们，集合多人的力量，利用专门击龙设施来试图改变他的行进路线。"
34	"<b>分类</b>\n甲壳种，砦蟹独行种。\n\n<b>生境范围</b>\n常在火山区域附近的沿海登陆。\n\n<b>适应性</b>\n被确定为独行种的“铠岩”砦蟹的首次目击记录先于红莲砦蟹。两者外形的高度相似，一度被认为是同一怪物。这不仅仅是因为他们出现在火山地带附近以及会用霸龙头骨作为背壳的这一不同的习性，更多是因为同样坚硬的外壳、温度会变化的特殊体质以及会喷射火焰的特性。但是没多久，砦蟹“铠岩”就用他坚硬的特性和极强的破坏力，给遭遇的猎人们上了生动一课。尽管相对原生种有着不同的体质以及对房型审美的差异，铠岩砦蟹同样具有在海边陆地上徘徊的习性。铠岩砦蟹的目击记录非常稀少，有说法称，他们相对原生种智慧更高性情更为温和。除非行进的路线不得不途径人类城寨，才会用赤螯稍微清理一下。\n\n<b>行为</b>\n体积与重量所带来的地动山摇效果，完全不逊于红莲砦蟹。其外壳的坚硬程度更甚，普通利器很难轻易造成伤痕。高温的特性与红莲砦蟹相似，普通行进同样会引起难以想象的爆炸。喷射的热焰火球相比红莲砦蟹，威力更为惊人。"
35	"<b>分类</b>\n甲壳种，砦蟹独行种。\n\n<b>生境范围</b>\n学士们分析，红莲砦蟹很有可能生活在火山地带附近、却有着在海边陆地上徘徊的习性。\n\n<b>适应性</b>\n在砦蟹袭城潮中被发现，被定名为“红莲”的独行种。身体里积蓄着高温与易爆性，与原生种背负的头骨外形不同，但应该同样来自于某种巨龙。不过由于这一类个体体内积蓄惊人的热量，甚至让人感觉那就是从熔岩中诞生的怪物，所以得到了专有的异名“红莲”。毕竟同为甲壳种，生活在火山附近的镰蟹就没有类似的体质。红莲砦蟹的目击情报少于原生种，在相当长一段时间里都在困扰着研究人员。学术界争论的焦点，除了体内那已经足以称之为异常的高温，过于不可思议外，红莲种究竟是原生种的变异产物还是完全另一个品种，至今为止尚未有定论。\n\n<b>行为</b>\n体积与重量所带来的地动山摇效果，完全不输于最初发现的原生种。在其外壳达到高温之后，虽然会变得稍微软一些，却会由于那过高的温度变得很易爆，以至于连普通走路都会引起难以想象的爆炸。与原生种会喷出的腐蚀性酸液不同，这位从火山附近漂洋过来的来客，喷出的是如假包换的高温火焰。"
36	"<b>分类</b>\n甲壳种。\n\n<b>生境范围</b>\n在梅杰波尔坦南部大沙漠地区被行商和猎人多次目击到的奇妙甲壳种生物，沼泽与湿地中也有发现报告。\n\n<b>生态位</b>\n即使在沙漠多种多样的怪物之中，也算得上异类的这种大型怪物，自古以来就被冠以种种传说——其中最著名的便是伴随流星而降的传说，毫无疑问尾晶蝎在古人眼中是美丽与神秘的象征，但是同时他也是凶猛狡猾的捕食者，习惯躲在沙下只露出发光的尾巴伏击被吸引过来的猎物。但是对人类来说，也早就学会了不要贸然接近这些沙漠之中的绝美之物，因此即使尾晶蝎十分强大，对人的危险性反而较其他怪物为小。\n然而，辉晶石是非常优良的素材，具有让猎人不惜犯险挑战尾晶蝎的价值。而如果要与其战斗者必须切记尾晶蝎具有多彩的攻击方式——强力的钳爪不会逊色于盾蟹等甲壳种，包覆着晶体的尾巴的刺击则更为致命。而其最有效的能力始终是运用体内的液体，他能够灵活运用尾巴进行多种形式的喷射攻击，化作毁灭的光流以各种轨迹扫射猎人，甚至还能以之修复自己身上受损的晶体甲壳。\n因此，如何对付尾晶蝎的尾巴，是每一个预备讨伐这神奇而美丽强敌眼前的重要课题。\n\n<b>适应性</b>\n得名“尾晶蝎”自然是因为其如同巨大蝎子的外表，以及在甲壳外层所包覆的极其美丽、内蕴荧光的结晶体，而其尾部的结晶体覆盖最为完整，而背部，头部和钳爪上也覆盖着较为完整的水晶层，这些晶体就是珍贵的“辉晶石”，由尾晶蝎会发光的体液在接触空气瞬间凝固而成。\n\n<b>行为</b>\n尾晶蝎的结晶十分坚硬，不仅能对他形成极强的保护，同时在攻击时也会对猎人造成极大的威胁。尾部硕大的结晶能够设置在地面上造成大范围的爆炸，尾部也能喷射出光束状的结晶对目标造成伤害。事实上，附着在猎人体表的小结晶会在短时间内急速膨胀，并且爆炸。这些招式都让人十分头疼。"
37	"<b>分类</b>\n甲壳种，尾晶蝎亚种。\n\n<b>生境范围</b>\n常见目击报告为湿地洞穴。\n\n<b>适应性</b>\n被定义为尾晶蝎亚种的灰晶蝎，其全身被灰黑色的硬甲所覆盖，从外观上来说与尾晶蝎十分相似。但是其头部有一根突出的“硬角”，而且其体表的结晶也显得更加苍白。\n相较原本就极少目击的尾晶蝎，灰晶蝎的目击报告更是少之又少。这不仅是因为灰晶蝎数量十分稀少，还因为这是一种极度危险的生物。根据生还者的回忆，当时所有人都被一块苍白明亮的晶体所吸引，当人们走到触手可及的距离时，伴随而来的是一阵猛烈的爆炸，一瞬间所有人便失去了知觉。狡诈的捕食者们，总是会利用各种方式来诱捕猎物，而灰晶蝎也深谙此道。\n\n<b>行为</b>\n除了强有力的钳爪和坚硬的结晶，灰晶蝎灵活的尾部也令对手防不胜防，从尾尖部位喷射而出的结晶射线，更是会给对手造成致命的威胁。教官曾经教导前往狩猎的猎人，千万要注意尾晶蝎亚种的尾巴和结晶，这将成为能否成功完成委托的关键所在。"
38	"<b>分类</b>\n甲虫种。\n\n<b>生境范围</b>\n常见于水草丰茂的山泽林地，电甲虫的出没是自然环境优良的象征。那泛出丝缎光泽的轻薄羽翼，盈落在水面之上，是很多诗人的幻之梦境。\n\n<b>生态位</b>\n目前尚无电甲虫主动攻击其他大型生物的记录，超强的电能操控也使得他们暂时没有天敌。有研究表明电甲虫的领地意识似乎有点反应过度，容易被误入生物激发的电场，对生态环境破坏力十分明显，也因此遭到公会派遣出猎人们的驱逐。\n\n<b>适应性</b>\n不同于其他雷属性生物拥有储电器官，电甲虫通过翅翼摩擦将体表的电荷分离，头部的蓄电角聚集正电荷，尾部汇聚负电荷，藉此操控雷电激荡之力。\n电甲虫的发现绝非偶然，他们个性敏感好斗，常有两只电甲虫为了争夺配偶引发战争，超高伏特电场辐射数公里，交织电网的强力光线直射夜空，毫无意外的被调查者们发现踪迹。\n\n<b>行为</b>\n电甲虫虽然体型较大，但并未失去飞行能力。不仅能够在空中进行短距离的悬停飞行，向猎人快速俯冲，同时拥有超强的雷电操控力，利用电能发动攻击，将猎物封锁于密织的电网中。"
39	"<b>分类</b>\n鱼龙种。\n\n<b>生境范围</b>\n率领着沙龙集群，徜徉于沙海之中的凶悍掠食者。\n\n<b>生态位</b>\n和种群中的其他沙龙不同，沙龙王有着深色的皮肤。性情极其凶暴，几乎会捕食任何感知到的猎物，甚至对同类也丝毫不坐留情，是沙漠行商的重大危害。\n\n<b>适应性</b>\n因为常年在沙海中行动，视觉极致退化，主要依靠听觉来进行定位，精确度异常的高。但是对外界的巨大响声的刺激也很敏感，时常因为突发性的巨响而受惊。此外还能够喷出与自己分泌粘液混合起来的沙粒团，具有如炮弹一般强大的破坏力。\n\n<b>行为</b>\n作为栖息在雷鸣沙海的凶悍掠食者，沙龙王的招数也与沙子有关，无论是从沙下突然飞出，还是在沙下向猎人猛烈冲击，都颇具杀伤力。而他的沙铁炮更是会将沙子和粘液集束射向猎人，不得不小心提防。"
